Team,DribbledPast,Interception,Fouled,Fouls,Yellow,Red,Clearance,Total block,Total goals,Successful Dribble,Total Aerial challenges,AccLB,InAccLB,AccSP,InAccSP,Possession per game,Average salary per week_1,Summer transfer_1,Net spend on transfer,Average attendance per game
Arsenal,376,767,418,376,68,2,1004,610,69,599,1390,877,871,16342,2446,55.7,166000,78000000,46400000,59992
Manchester City,482,571,297,445,77,2,872,670,82,434,1188,902,1031,17790,2381,57,205000,53000000,32000000,45365
Chelsea,387,370,432,382,73,4,1026,564,72,489,1299,1153,1118,15709,2289,54.1,192000,88500000,-800000,41546
Manchester United,302,680,395,453,64,5,1117,513,60,374,1188,1736,1233,16407,1933,58.8,215000,145500000,122000000,75335
Southampton,336,628,396,469,57,3,879,510,49,265,1308,1325,1397,13170,2289,51.9,63000,57500000,-30700000,30652
Liverpool,324,441,466,385,66,3,1177,590,48,438,1161,1052,1097,14988,2240,54.4,144000,117000000,35700000,44659
Tottenham,315,678,383,442,79,4,1045,527,56,413,1232,1113,1248,14575,2392,55.3,100000,27000000,-6500000,35728
Stoke,366,501,409,487,82,1,1170,502,47,357,1655,1166,1257,10747,2206,50.2,61000,3000000,400000,27081
Swansea,372,692,463,398,48,5,1202,426,43,351,1205,1092,1201,13586,1998,50.7,63000,5500000,1300000,20555
West Ham,330,507,419,420,64,2,1474,489,43,260,1608,1098,1448,9022,1998,46.7,64000,23800000,31000000,34871
Leicester,362,743,348,456,50,4,1179,457,45,349,1960,1022,1683,8460,2177,44.8,36300,8000000,8000000,31693
Crystal Palace,340,601,434,527,63,4,1269,442,46,357,1759,945,1665,7435,2024,42.7,46000,12900000,11000000,24421
Everton,341,444,450,390,66,2,1285,483,46,392,1228,1270,1289,14236,2008,53.6,69000,32800000,32800000,38406
Burnley,403,565,398,407,64,2,1473,430,27,243,1888,1296,1724,8292,2315,44,21000,1500000,10000000,19131
West Bromwich Albion,352,588,406,423,64,3,1090,411,37,241,1303,1054,1674,9771,1932,44.9,65000,14000000,13600000,25064
Queens Park Rangers,387,561,392,447,75,3,1445,535,39,307,1732,1307,1698,8362,2294,46.3,78000,28000000,21000000,17809
Hull,378,606,401,451,73,6,1317,429,32,255,1619,1171,1554,10192,1942,45.6,43000,32900000,24400000,23557
Sunderland,436,579,447,441,94,2,993,408,30,341,1176,1081,1404,9922,2043,46.2,70000,14000000,9500000,43157
Newcastle United,321,643,441,434,65,7,1025,468,40,444,1549,952,1424,10593,2052,48.1,78000,29500000,24900000,50359
Aston Villa,286,484,422,401,70,7,1129,417,31,287,1400,1323,1419,11724,2051,49.1,69000,4700000,5900000,34133
Juventus,300,555,501,525,73,5,762,602,71,405,940,1288,843,16023,2249,55.7,122000,46000000,11000000,38553
Lazio,355,751,456,678,104,9,934,551,70,375,1215,1229,1259,12717,2185,52.7,55100,12250000,12750000,35500
Inter,336,632,485,560,95,5,833,615,58,433,1142,952,874,16494,2242,57.8,70200,15700000,-3150000,37372
Roma,295,670,511,521,103,5,910,525,53,420,894,1547,1080,15893,1990,57.5,94500,98600000,9075000,40118
Fiorentina,360,626,555,538,82,3,853,616,61,383,977,1261,1031,14957,1996,55.9,56000,9100000,-24000000,30266
Napoli,380,641,484,524,78,6,842,624,65,303,1062,1187,1153,15406,2213,54.1,67000,34050000,29490000,32266
Genoa,301,592,622,636,103,6,1034,489,58,394,1042,1029,1201,11326,2191,51.2,35500,4340000,10160000,20882
Sampdoria,297,559,600,615,97,3,1043,503,46,346,949,1363,1125,10715,1901,49,38500,24050000,-1700000,22276
Palermo,354,522,549,582,84,4,1048,479,52,403,1144,1101,1201,11345,2182,49,24300,19700000,2030000,17466
Torino,291,617,529,545,97,5,806,546,48,339,975,1340,1092,11818,1845,48.8,22500,34200000,3500000,17234
AC Milan,261,682,615,541,81,13,905,450,54,294,898,1392,1225,12564,1906,51.2,97000,20600000,-15600000,36730
Sassuolo,382,732,668,586,101,9,1231,448,46,264,1121,1069,1369,9976,1927,47.2,28000,16000000,2200000,13086
Chievo,338,665,579,625,82,3,926,458,27,258,1162,1234,1449,8069,2071,43.6,18300,8000000,2510000,10652
Empoli,414,371,610,492,58,4,953,516,43,424,1015,799,1207,13920,2437,51.4,11000,0,3750000,9229
Cagliari,353,585,621,595,109,6,934,495,45,445,948,826,1054,12505,2343,49.1,16000,20200000,1700000,10551
Verona,357,565,511,523,97,7,1159,461,48,239,1005,1142,1159,9497,1774,43.9,20500,16700000,-6200000,19312
Udinese,321,503,504,532,91,6,1151,426,41,277,1290,1093,1484,9529,2007,45.2,25000,29200000,14850000,9132
Atalanta,336,603,604,630,103,9,1041,461,37,254,1298,1158,1312,9702,2183,46.2,19700,0,-5400000,15673
Cesena,370,563,557,632,102,4,1167,360,34,232,1303,1325,1294,9231,2243,45.2,11500,825000,950000,16204
Parma,357,607,484,662,100,8,853,418,31,270,904,1218,1316,10543,2060,45.2,26200,4320000,-6360000,11758
Barcelona,260,496,557,371,67,3,494,625,108,527,739,1315,682,21439,2371,65.3,347900,166000000,85000000,77632
Real Madrid,343,482,544,406,85,3,658,686,116,477,925,1285,803,16083,1952,56.2,328000,135500000,21500000,73081
Atletico Madrid,372,606,539,544,110,5,871,437,65,270,1596,1034,1242,10810,2443,49.4,105000,117600000,29600000,46603
Valencia,294,683,613,568,103,9,1026,441,65,313,1351,1242,1223,10432,2102,50.7,73000,53300000,850000,43205
Sevilla,350,614,517,609,116,2,811,463,68,320,1283,1092,1347,10597,2306,49.9,78600,20950000,-29600000,30671
Villarreal,248,721,443,526,94,2,993,507,48,278,1302,1047,1287,10524,2535,48.9,44200,18700000,-3800000,16040
Celta Vigo,334,673,495,586,117,5,771,499,47,375,1452,1233,1392,13577,2409,55.2,18700,0,0,19156
Athletic Club,320,751,511,532,96,4,848,443,41,270,1699,1100,1645,10929,2753,50.8,38900,1000000,-35000000,43454
Real Sociedad,261,606,559,514,88,1,1040,429,41,265,1533,1246,1366,10110,2415,50.3,49900,12000000,-33200000,22103
Espanyol,328,637,535,594,111,6,964,368,47,266,1405,1013,1496,8546,2208,46.4,32200,2200000,-8800000,18693
Rayo Vallecano,320,658,525,554,106,6,760,492,46,301,1421,1396,1368,12218,2309,55.4,15800,500000,150000,10628
Malaga,400,631,509,571,107,8,830,461,40,297,1248,1157,1324,9233,2285,48.9,27500,1800000,-17600000,24530
Deportivo La Coruna,351,748,498,554,103,4,892,399,33,284,1348,1044,1432,9884,2216,48.3,15300,200000,200000,21271
Getafe,332,757,474,542,96,4,901,421,32,364,1301,1069,1439,9340,2169,47.3,18700,0,-8000000,7753
Almeria,270,660,518,560,107,11,1021,394,33,300,1296,1117,1490,7317,2019,46.1,11700,0,-3000000,10405
Eibar,343,653,410,568,103,5,963,354,33,216,1515,1257,1682,7366,2335,44.6,12800,162000,-5162000,4780
Cordoba,338,692,496,487,95,9,1029,389,21,337,1433,1014,1383,9839,2126,47.4,16300,500000,500000,16126
Granada,252,668,488,572,112,5,976,401,29,337,1307,1091,1331,8511,1992,46.9,22800,5750000,-10000000,17248
Levante,296,688,480,558,107,3,835,404,34,286,1495,1092,1555,8046,2153,44.1,17000,0,0,15267
Elche,318,562,485,588,103,6,834,407,35,248,1287,1279,1564,9889,2138,47.9,12500,1350000,-4650000,21684
